sale_date,sale_time,title,id
2016-7-28,10:38:01,Сапоги тип 3 - Puma,7481
2016-7-28,10:38:01,Футболка тип 2 - Adidas,7482
2016-4-5,16:47:28,Колготки тип 6 - Reebok,7483
2016-4-5,16:47:28,Запонка тип 3 - Puma,7484
2016-4-5,16:47:28,Запонка тип 5 - Nike,7485
2016-4-5,16:47:28,Штаны тип 2 - Nike,7486
2016-4-5,16:47:28,Рубашка тип 9 - Puma,7487
2016-8-2,15:26:40,Запонка тип 6 - Reebok,7488
2016-8-2,15:26:40,Футболка тип 6 - Nike,7489
2016-8-2,15:26:40,Рубашка тип 2 - Nike,7490
2016-5-25,17:34:38,Туфли тип 1 - Puma,7491
2017-3-29,15:54:51,Штаны тип 8 - Adidas,7492
2017-3-29,15:54:51,Запонка тип 1 - Puma,7493
2017-3-29,15:54:51,Рубашка тип 4 - Nike,7494
2016-9-20,16:08:28,Футболка тип 5 - Nike,7495
2016-9-20,16:08:28,Колготки тип 3 - Puma,7496
2018-1-9,13:43:29,Рубашка тип 3 - Adidas,7497
2018-1-9,13:43:29,Рубашка тип 10 - Reebok,7498
2017-9-29,11:27:02,Ремень тип 2 - Nike,7499
2016-6-15,20:27:11,Рубашка тип 4 - Reebok,7500
2016-6-15,20:27:11,Рубашка тип 3 - Puma,7501
2017-3-25,12:43:58,Запонка тип 7 - Adidas,7502
2018-3-16,19:38:36,Кепка тип 3 - Nike,7503
2017-1-20,12:57:19,Колготки тип 3 - Nike,7504
2018-7-26,17:58:19,Штаны тип 4 - Adidas,7505
2018-1-13,20:14:13,Ремень тип 2 - Adidas,7506
2016-4-10,17:08:28,Штаны тип 8 - Adidas,7507
2016-4-10,17:08:28,Запонка тип 4 - Nike,7508
2017-7-31,18:55:50,Рубашка тип 3 - Adidas,7509
2016-3-25,13:36:40,Майка тип 4 - Puma,7510
2016-4-9,10:01:11,Штаны тип 6 - Puma,7511
2018-4-23,19:23:27,Штаны тип 12 - Reebok,7512
2017-4-24,11:23:35,Запонка тип 1 - Reebok,7513
2017-4-24,11:23:35,Штаны тип 5 - Nike,7514
2017-4-24,11:23:35,Запонка тип 1 - Adidas,7515
2017-4-2,09:53:45,Колготки тип 5 - Nike,7516
2017-4-2,09:53:45,Рубашка тип 5 - Adidas,7517
2017-4-2,09:53:45,Штаны тип 3 - Puma,7518
2017-4-2,09:53:45,Рубашка тип 11 - Adidas,7519
2017-4-2,09:53:45,Футболка тип 1 - Reebok,7520
2018-11-1,17:55:36,Кроссовки тип 4 - Reebok,7521
2018-11-1,17:55:36,Футболка тип 3 - Puma,7522
2017-1-12,18:01:58,Колготки тип 7 - Adidas,7523
2017-3-24,10:08:38,Ремень тип 2 - Puma,7524
2017-3-24,10:08:38,Колготки тип 1 - Nike,7525
2017-3-24,10:08:38,Колготки тип 6 - Adidas,7526
2017-3-24,10:08:38,Кроссовки тип 6 - Reebok,7527
2017-3-24,10:08:38,Туфли тип 4 - Adidas,7528
2017-4-6,17:28:14,Колготки тип 6 - Adidas,7529
2018-8-2,15:53:02,Запонка тип 6 - Puma,7530
2018-8-2,15:53:02,Мячик тип 1 - Nike,7531
2018-8-2,15:53:02,Кроссовки тип 5 - Adidas,7532
2018-8-2,15:53:02,Колготки тип 3 - Nike,7533
2018-8-2,15:53:02,Штаны тип 6 - Puma,7534
2016-1-23,12:51:10,Рубашка тип 7 - Nike,7535
2016-1-23,12:51:10,Майка тип 3 - Nike,7536
2016-1-23,12:51:10,Штаны тип 7 - Nike,7537
2016-1-23,12:51:10,Кроссовки тип 4 - Nike,7538
2016-11-22,14:37:12,Шапка тип 7 - Puma,7539
2018-8-16,15:09:21,Шапка тип 5 - Nike,7540
2018-8-16,15:09:21,Футболка тип 5 - Adidas,7541
2016-9-27,17:47:20,Майка тип 1 - Puma,7542
2016-9-27,17:47:20,Запонка тип 6 - Reebok,7543
2016-9-27,17:47:20,Рубашка тип 9 - Adidas,7544
2016-9-27,17:47:20,Ремень тип 4 - Adidas,7545
2017-9-2,17:34:33,Штаны тип 1 - Nike,7546
2018-6-1,09:58:53,Колготки тип 5 - Puma,7547
2017-6-17,14:02:06,Запонка тип 6 - Adidas,7548
2017-6-17,14:02:06,Сапоги тип 4 - Nike,7549
2017-6-17,14:02:06,Футболка тип 4 - Puma,7550
2017-7-3,16:11:49,Шлёпки тип 3 - Reebok,7551
2017-1-13,11:45:19,Шапка тип 5 - Adidas,7552
2017-1-13,11:45:19,Футболка тип 5 - Nike,7553
2016-1-14,09:09:24,Шапка тип 5 - Adidas,7554
2016-1-14,09:09:24,Кроссовки тип 1 - Nike,7555
2016-1-14,09:09:24,Штаны тип 9 - Adidas,7556
2018-3-6,14:19:58,Рубашка тип 3 - Puma,7557
2018-3-6,14:19:58,Кепка тип 3 - Reebok,7558
2018-3-6,14:19:58,Кроссовки тип 1 - Reebok,7559
2017-10-20,11:03:16,Футболка тип 4 - Reebok,7560
2017-10-20,11:03:16,Штаны тип 11 - Nike,7561
2018-3-1,14:15:27,Шлёпки тип 1 - Adidas,7562
2018-3-1,14:15:27,Запонка тип 5 - Nike,7563
2018-3-1,14:15:27,Футболка тип 2 - Adidas,7564
2018-3-1,14:15:27,Сапоги тип 2 - Reebok,7565
2018-3-1,14:15:27,Футболка тип 4 - Adidas,7566
2018-3-1,14:15:27,Запонка тип 4 - Adidas,7567
2018-3-1,14:15:27,Футболка тип 2 - Adidas,7568
2017-12-15,17:55:59,Кроссовки тип 3 - Puma,7569
