sale_date,sale_time,title,quantity,id
2018-9-28,19:04:55,Кроссовки тип 3 - Reebok,2,7954
2018-4-2,10:23:54,Сапоги тип 2 - Reebok,1,7955
2018-4-2,10:23:54,Рубашка тип 4 - Nike,2,7956
2018-4-2,10:23:54,Шапка тип 8 - Reebok,1,7957
2017-9-6,10:51:40,Штаны тип 8 - Adidas,1,7958
2017-9-6,10:51:40,Колготки тип 6 - Reebok,1,7959
2016-9-14,13:51:41,Штаны тип 1 - Puma,2,7960
2017-10-13,18:41:25,Кроссовки тип 1 - Nike,1,7961
2017-12-24,16:06:47,Колготки тип 1 - Adidas,1,7962
2017-12-24,16:06:47,Майка тип 2 - Puma,2,7963
